# RA = 02 42 40.70 (40.669583)
# Dec = -00 00 47.00 (-0.013056)
# Redshift = 0.0
# nH = 2.92E20 cm^-2 
# SWBAT70M  (14-195 keV) (id = 30)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
3.0000E-05     0.0000E00    1.2644E-11   1.5674E-12    53340.5    55469.5
7.0017E-05     0.0000E00    1.3646E-11   1.6916E-12    53340.5    55469.5
# 4XMM-DR12 (4.5-12 keV) (id = 29)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
7.3491E-06     0.0000E00    4.5898E-12   5.0117E-14    57056.13798611111    57056.75231481482
7.3491E-06     0.0000E00    4.6182E-12   4.3669E-14    51754.271261574075    51754.7065625
7.3491E-06     0.0000E00    4.4780E-12   3.8026E-14    56888.073483796295    56888.68084490741
7.3491E-06     0.0000E00    4.6314E-12   4.6921E-14    51755.11953703704    51755.55638888889
7.3491E-06     0.0000E00    4.6538E-12   3.7026E-14    56856.18059027778    56856.82965277778
7.3491E-06     0.0000E00    4.6080E-12   4.0429E-14    56848.85362268519    56849.576689814814
# 4XMM-DR12 (2-4.5 keV) (id = 28)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
3.0000E-06     0.0000E00    1.9104E-12   1.7516E-14    57056.13798611111    57056.75231481482
3.0000E-06     0.0000E00    2.0949E-12   1.6249E-14    51754.271261574075    51754.7065625
3.0000E-06     0.0000E00    1.9608E-12   1.3671E-14    56888.073483796295    56888.68084490741
3.0000E-06     0.0000E00    2.0568E-12   1.7173E-14    51755.11953703704    51755.55638888889
3.0000E-06     0.0000E00    1.9596E-12   1.3116E-14    56856.18059027778    56856.82965277778
3.0000E-06     0.0000E00    2.0014E-12   1.4490E-14    56848.85362268519    56849.576689814814
# 4XMM-DR12 (1-2 keV) (id = 27)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4140E-06     0.0000E00    4.4082E-12   1.7051E-14    57056.13798611111    57056.75231481482
1.4140E-06     0.0000E00    4.4686E-12   1.5120E-14    51754.271261574075    51754.7065625
1.4140E-06     0.0000E00    4.3707E-12   1.2794E-14    56888.073483796295    56888.68084490741
1.4140E-06     0.0000E00    4.4744E-12   1.5820E-14    51755.11953703704    51755.55638888889
1.4140E-06     0.0000E00    4.3966E-12   1.2370E-14    56856.18059027778    56856.82965277778
1.4140E-06     0.0000E00    4.4225E-12   1.3689E-14    56848.85362268519    56849.576689814814
# 4XMM-DR12 (0.5-1 keV) (id = 26)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
