# RA = 23 03 15.74 (345.8156)
# Dec = +08 52 25.90 (8.873861)
# Redshift = 0.0
# nH = 4.45E20 cm^-2 
# SWBAT70M  (14-195 keV) (id = 22)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
3.0000E-05     0.0000E00    2.6032E-11   1.7514E-12    53340.5    55469.5
7.0017E-05     0.0000E00    2.4953E-11   1.6787E-12    53340.5    55469.5
# 4XMM-DR12 (4.5-12 keV) (id = 21)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
7.3491E-06     0.0000E00    1.7280E-11   7.3761E-14    57371.10413194444    57372.08070601852
7.3491E-06     0.0000E00    2.2156E-11   7.0792E-14    57384.877916666665    57386.036203703705
7.3491E-06     0.0000E00    2.0612E-11   8.0343E-14    57380.965208333335    57382.07298611111
7.3491E-06     0.0000E00    1.8306E-11   6.3806E-14    57379.019895833335    57380.05435185185
7.3491E-06     0.0000E00    2.1171E-11   6.5450E-14    57350.56033564815    57351.52884259259
7.3491E-06     0.0000E00    1.9759E-11   8.1669E-14    57382.91510416667    57384.03171296296
7.3491E-06     0.0000E00    2.0358E-11   8.5230E-14    53342.061203703706    53342.971770833334
7.3491E-06     0.0000E00    1.7554E-11   1.2512E-13    51904.172060185185    51904.375752314816
7.3491E-06     0.0000E00    1.8266E-11   1.1165E-13    51904.452893518515    51904.720289351855
7.3491E-06     0.0000E00    1.9474E-11   8.3369E-14    53339.883576388886    53340.86241898148
7.3491E-06     0.0000E00    1.9739E-11   6.5997E-14    57185.58347222222    57186.61675925926
# 4XMM-DR12 (2-4.5 keV) (id = 20)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
3.0000E-06     0.0000E00    1.4110E-11   3.4950E-14    57371.10413194444    57372.08070601852
3.0000E-06     0.0000E00    1.8341E-11   3.8010E-14    57384.877916666665    57386.036203703705
3.0000E-06     0.0000E00    1.7037E-11   3.9478E-14    57380.965208333335    57382.07298611111
3.0000E-06     0.0000E00    1.5180E-11   3.0913E-14    57379.019895833335    57380.05435185185
3.0000E-06     0.0000E00    1.7738E-11   3.3855E-14    57350.56033564815    57351.52884259259
3.0000E-06     0.0000E00    1.6152E-11   4.0639E-14    57382.91510416667    57384.03171296296
3.0000E-06     0.0000E00    1.7517E-11   4.4568E-14    53342.061203703706    53342.971770833334
3.0000E-06     0.0000E00    1.4577E-11   6.2293E-14    51904.172060185185    51904.375752314816
3.0000E-06     0.0000E00    1.5844E-11   5.7134E-14    51904.452893518515    51904.720289351855
3.0000E-06     0.0000E00    1.7394E-11   4.5563E-14    53339.883576388886    53340.86241898148
3.0000E-06     0.0000E00    1.7480E-11   3.4570E-14    57185.58347222222    57186.61675925926
# 4XMM-DR12 (1-2 keV) (id = 19)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4140E-06     0.0000E00    1.3200E-11   2.3014E-14    57371.10413194444    57372.08070601852
1.4140E-06     0.0000E00    1.6662E-11   2.0614E-14    57384.877916666665    57386.036203703705
1.4140E-06     0.0000E00    1.5711E-11   2.2265E-14    57380.965208333335    57382.07298611111
1.4140E-06     0.0000E00    1.3995E-11   1.9206E-14    57379.019895833335    57380.05435185185
1.4140E-06     0.0000E00    1.6936E-11   1.9384E-14    57350.56033564815    57351.52884259259
1.4140E-06     0.0000E00    1.4459E-11   2.3060E-14    57382.91510416667    57384.03171296296
1.4140E-06     0.0000E00    1.6057E-11   2.1658E-14    53342.061203703706    53342.971770833334
